0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:57:24 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:57:40 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:57:59 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:58:09 +0800] "POST /JspDemo1/JSPSHIWEI/logincheck.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:58:11 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:58:27 +0800] "POST /JspDemo1/JSPSHIWEI/logincheck.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:58:29 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:59:00 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:59:08 +0800] "POST /JspDemo1/JSPSHIWEI/logincheck.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:59:10 +0800] "GET /JspDemo1/JSPSHIWEI/main.jsp HTTP/1.1" 200 1381
