0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:54:56 +0800] "GET /httpServletDemo/info_basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:54:56 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:02 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:04 +0800] "GET /httpServletDemo/info_department.jsp HTTP/1.1" 200 6653
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:04 +0800] "GET /httpServletDemo/info_department.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:04 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:06 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:07 +0800] "GET /httpServletDemo/info_duty.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:07 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:09 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:10 +0800] "GET /httpServletDemo/info_edu.jsp HTTP/1.1" 200 6958
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:10 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:11 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:13 +0800] "GET /httpServletDemo/info_io.jsp HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:13 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:55:15 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:17 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:18 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:19 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:19 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/LoginSuccess.html HTTP/1.1" 200 6455
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/main.css HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/css/style.css HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/css/lun.css HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/Picture/Shezhi.png HTTP/1.1" 200 10461
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/1.png HTTP/1.1" 200 61176
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/3.png HTTP/1.1" 200 40493
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/2.png HTTP/1.1" 200 114335
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/44.jpg HTTP/1.1" 200 44781
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/55.jpg HTTP/1.1" 200 37393
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/66.jpg HTTP/1.1" 200 60712
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/img/77.jpg HTTP/1.1" 200 33327
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/pageJs/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:34 +0800] "GET /httpServletDemo/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /httpServletDemo/Picture/top.jpg HTTP/1.1" 200 30926
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /httpServletDemo/Picture/centerOfcenter.jpg HTTP/1.1" 200 91106
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /httpServletDemo/Picture/left.jpg HTTP/1.1" 200 83781
