127.0.0.1 - - [11/Oct/2018:08:41:56 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Oct/2018:08:41:57 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [11/Oct/2018:08:46:50 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [11/Oct/2018:08:48:22 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [11/Oct/2018:08:52:29 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [11/Oct/2018:08:52:55 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [11/Oct/2018:08:53:18 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:10:32 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:10:42 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:10:51 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:11:55 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:14:02 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:14:10 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:15:06 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:15:16 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:15:41 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:15:46 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:17:22 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:17:34 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:17:34 +0800] "GET /ex10_11_am/ex3.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:18:15 +0800] "GET /ex10_11_am/index.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [11/Oct/2018:09:18:23 +0800] "GET /ex10_11_am/ex2.jsp?username=shiwei&password=123456 HTTP/1.1" 200 300
